Cols: 1000
Threads number: 100
Thread 0 data: n_calc = 10, start = -1.000000, step = 0.002000
Thread 1 data: n_calc = 10, start = -0.980000, step = 0.002000
Thread 2 data: n_calc = 10, start = -0.960000, step = 0.002000
Thread 3 data: n_calc = 10, start = -0.940000, step = 0.002000
Thread 4 data: n_calc = 10, start = -0.920000, step = 0.002000
Thread 5 data: n_calc = 10, start = -0.900000, step = 0.002000
Thread 6 data: n_calc = 10, start = -0.880000, step = 0.002000
Thread 7 data: n_calc = 10, start = -0.860000, step = 0.002000
Thread 8 data: n_calc = 10, start = -0.840000, step = 0.002000
Thread 9 data: n_calc = 10, start = -0.820000, step = 0.002000
Thread 10 data: n_calc = 10, start = -0.800000, step = 0.002000
Thread 11 data: n_calc = 10, start = -0.780000, step = 0.002000
Thread 12 data: n_calc = 10, start = -0.760000, step = 0.002000
Thread 13 data: n_calc = 10, start = -0.740000, step = 0.002000
Thread 14 data: n_calc = 10, start = -0.720000, step = 0.002000
Thread 15 data: n_calc = 10, start = -0.700000, step = 0.002000
Thread 16 data: n_calc = 10, start = -0.680000, step = 0.002000
Thread 17 data: n_calc = 10, start = -0.660000, step = 0.002000
Thread 18 data: n_calc = 10, start = -0.640000, step = 0.002000
Thread 19 data: n_calc = 10, start = -0.620000, step = 0.002000
Thread 20 data: n_calc = 10, start = -0.600000, step = 0.002000
Thread 21 data: n_calc = 10, start = -0.580000, step = 0.002000
Thread 22 data: n_calc = 10, start = -0.560000, step = 0.002000
Thread 23 data: n_calc = 10, start = -0.540000, step = 0.002000
Thread 24 data: n_calc = 10, start = -0.520000, step = 0.002000
Thread 25 data: n_calc = 10, start = -0.500000, step = 0.002000
Thread 26 data: n_calc = 10, start = -0.480000, step = 0.002000
Thread 27 data: n_calc = 10, start = -0.460000, step = 0.002000
Thread 28 data: n_calc = 10, start = -0.440000, step = 0.002000
Thread 29 data: n_calc = 10, start = -0.420000, step = 0.002000
Thread 30 data: n_calc = 10, start = -0.400000, step = 0.002000
Thread 31 data: n_calc = 10, start = -0.380000, step = 0.002000
Thread 32 data: n_calc = 10, start = -0.360000, step = 0.002000
Thread 33 data: n_calc = 10, start = -0.340000, step = 0.002000
Thread 34 data: n_calc = 10, start = -0.320000, step = 0.002000
Thread 35 data: n_calc = 10, start = -0.300000, step = 0.002000
Thread 36 data: n_calc = 10, start = -0.280000, step = 0.002000
Thread 37 data: n_calc = 10, start = -0.260000, step = 0.002000
Thread 38 data: n_calc = 10, start = -0.240000, step = 0.002000
Thread 39 data: n_calc = 10, start = -0.220000, step = 0.002000
Thread 40 data: n_calc = 10, start = -0.200000, step = 0.002000
Thread 41 data: n_calc = 10, start = -0.180000, step = 0.002000
Thread 42 data: n_calc = 10, start = -0.160000, step = 0.002000
Thread 43 data: n_calc = 10, start = -0.140000, step = 0.002000
Thread 44 data: n_calc = 10, start = -0.120000, step = 0.002000
Thread 45 data: n_calc = 10, start = -0.100000, step = 0.002000
Thread 46 data: n_calc = 10, start = -0.080000, step = 0.002000
Thread 47 data: n_calc = 10, start = -0.060000, step = 0.002000
Thread 48 data: n_calc = 10, start = -0.040000, step = 0.002000
Thread 49 data: n_calc = 10, start = -0.020000, step = 0.002000
Thread 50 data: n_calc = 10, start = 0.000000, step = 0.002000
Thread 51 data: n_calc = 10, start = 0.020000, step = 0.002000
Thread 52 data: n_calc = 10, start = 0.040000, step = 0.002000
Thread 53 data: n_calc = 10, start = 0.060000, step = 0.002000
Thread 54 data: n_calc = 10, start = 0.080000, step = 0.002000
Thread 55 data: n_calc = 10, start = 0.100000, step = 0.002000
Thread 56 data: n_calc = 10, start = 0.120000, step = 0.002000
Thread 57 data: n_calc = 10, start = 0.140000, step = 0.002000
Thread 58 data: n_calc = 10, start = 0.160000, step = 0.002000
Thread 59 data: n_calc = 10, start = 0.180000, step = 0.002000
Thread 60 data: n_calc = 10, start = 0.200000, step = 0.002000
Thread 61 data: n_calc = 10, start = 0.220000, step = 0.002000
Thread 62 data: n_calc = 10, start = 0.240000, step = 0.002000
Thread 63 data: n_calc = 10, start = 0.260000, step = 0.002000
Thread 64 data: n_calc = 10, start = 0.280000, step = 0.002000
Thread 65 data: n_calc = 10, start = 0.300000, step = 0.002000
Thread 66 data: n_calc = 10, start = 0.320000, step = 0.002000
Thread 67 data: n_calc = 10, start = 0.340000, step = 0.002000
Thread 68 data: n_calc = 10, start = 0.360000, step = 0.002000
Thread 69 data: n_calc = 10, start = 0.380000, step = 0.002000
Thread 70 data: n_calc = 10, start = 0.400000, step = 0.002000
